149.255.24.0/21,RU,RU-STA,Stavropol,
178.237.176.0/20,RU,RU-STA,Stavropol,
185.8.20.0/22,RU,RU-STA,Stavropol,
213.222.224.0/22,RU,RU-STA,Stavropol,
213.222.232.0/21,RU,RU-STA,Stavropol,
213.222.240.0/20,RU,RU-STA,Stavropol,
213.59.144.0/22,RU,RU-STA,Stavropol,
213.59.148.0/23,RU,RU-STA,Stavropol,
213.59.150.0/24,RU,RU-STA,Stavropol,
213.59.154.0/24,RU,RU-STA,Stavropol,
213.59.186.0/23,RU,RU-STA,Stavropol,
213.59.188.0/22,RU,RU-STA,Stavropol,
37.18.152.0/21,RU,RU-STA,Stavropol,
62.122.240.0/21,RU,RU-STA,Stavropol,
81.177.184.0/24,RU,RU-STA,Stavropol,
81.177.187.0/24,RU,RU-STA,Stavropol,
81.177.188.0/22,RU,RU-STA,Stavropol,
81.177.195.0/24,RU,RU-STA,Stavropol,
81.177.198.0/23,RU,RU-STA,Stavropol,
81.177.200.0/21,RU,RU-STA,Stavropol,
81.177.224.0/20,RU,RU-STA,Stavropol,
81.177.240.0/21,RU,RU-STA,Stavropol,
81.177.248.0/22,RU,RU-STA,Stavropol,
81.177.252.0/23,RU,RU-STA,Stavropol,
81.177.56.0/21,RU,RU-STA,Stavropol,
91.207.136.0/23,RU,RU-STA,Stavropol,
